model,bn,de,id,ko,pt,ru,zh,avg
ctrl_muniter,34.885164494103044,40.285536933581625,38.061245603145046,35.226567349472376,39.40616594247879,34.78170908338506,37.81295261742189,37.20847743194111
ctrl_xuniter,37.55431409062694,43.596110076557004,40.89592385681771,39.32340161390441,42.561555969377196,39.39582040140699,41.42354645147942,40.67866749430995
uc2,38.899234429960686,48.179184771363545,43.109869646182496,39.63376784605835,43.23401613904407,42.78915787295676,44.816883923029174,42.95173066122787
m3p,37.7612249120629,43.19263397475688,41.38216428719222,38.57852265673495,43.00641423546451,42.14773432650528,41.185599006828056,41.0363276285064
