model,bn,de,id,ko,pt,ru,zh,avg
ctrl_muniter,23.9395820401407,33.881647010138636,31.388371611835296,26.474239602731224,31.088350920753154,29.42271880819367,30.90213118146079,29.58529159646478
ctrl_xuniter,29.433064349265464,39.70618663356093,37.37843989240638,31.49182702255328,36.43699565487275,34.0471756672874,37.34740326919098,35.12015606987674
uc2,30.964204427891577,44.682391889095804,38.95096213531968,33.02296710117939,39.416511483550586,37.39913097454997,41.206290088971656,37.948922585794094
m3p,31.067659838609558,39.66480446927375,38.14400993171943,34.533416097661906,37.61638733705773,37.2336023174012,36.76805296917029,36.432561851556265
