model,bn,de,id,ko,pt,ru,zh,avg
ctrl_muniter,31.036623215394165,37.43016759776536,35.84729981378026,32.764328574384436,37.316366645975585,34.336850817297744,35.51624249948272,34.89255416629718
ctrl_xuniter,36.1783571280778,42.189116490792465,39.39582040140699,37.26463894061659,41.06145251396648,38.371611835298985,39.47858472998138,39.134226005734384
uc2,35.1231119387544,47.23774053382992,41.506310780053795,38.402648458514385,41.26836333540244,41.09248913718188,43.575418994413404,41.1722975968786
m3p,35.940409683426445,41.93047796399752,41.527001862197395,37.81295261742189,41.96151458721291,39.757914338919925,39.98551624249948,39.8451124708108
