model,bn,de,id,ko,pt,ru,zh,avg
ctrl_muniter,19.356507345334162,29.433064349265464,27.312228429546863,19.39788950962135,22.884336850817295,22.511897372232568,18.332298779226154,22.74688894800627
ctrl_xuniter,23.918890957997103,38.44403062280157,35.27829505483137,23.45334160976619,30.09517897786054,27.322573970618663,31.357334988619908,29.98137802607076
uc2,22.522242913304368,43.76163873370577,34.76101800124147,29.329608938547487,32.102213945789366,33.04365818332299,37.54396854955514,33.2949070379238
m3p,23.422304986550795,34.36788744051314,33.105731429753774,29.743430581419407,33.37471549762053,33.498861990482105,30.674529277881234,31.169637314888714
