model,bn,de,id,ko,pt,ru,zh,avg
ctrl_muniter,27.529484792054625,35.402441547692945,33.28160562797434,29.029588247465345,34.37823298158494,31.97806745292779,32.24705152079454,31.978067452927792
ctrl_xuniter,31.667701220773846,40.9683426443203,37.95779019242707,34.69894475481068,38.72336023174012,36.38526794951376,37.337057728119184,36.819780674529284
uc2,32.83674736188703,45.716945996275605,40.109662735361056,34.50237947444651,39.57169459962756,38.13366439064763,41.4856196979102,38.90810203659366
m3p,33.37471549762053,40.73039519966895,39.84067866749431,35.77488102627767,39.46823918890958,37.86468032278088,37.7715704531347,37.83216576512666
