model,en,bn,de,id,ko,pt,ru,zh,avg
ctrl_muniter,54.676184564452726,3.0622801572522245,23.949927581212496,9.36271466997724,4.210635216221808,13.666459755845231,8.493689219946203,7.034967928822677,9.968667789896841
ctrl_xuniter,54.831367680529695,10.800744878957168,34.83343678874405,33.72646389406166,12.124974136147321,22.129112352576037,18.839230291744258,19.553072625698324,21.715290709704114
uc2,55.193461618042626,19.987585350713843,42.85123111938754,28.667494309952414,21.363542313262982,30.415890751086284,30.995241051106976,31.160769708255742,29.348822086252255
m3p,53.745085867990895,18.642665011380092,33.41609766190772,32.4849989654459,25.108628181253877,31.398717152907096,27.49844816883923,28.646803227808814,28.170908338506102
