model,bn,de,id,ko,pt,ru,zh,avg
ctrl_muniter,30.043451272501553,37.82329815849369,36.48872336023174,31.947030829712393,37.04738257810883,32.89882060831781,36.1783571280778,34.6324377050634
ctrl_xuniter,34.843782329815845,41.93047796399752,39.47858472998138,36.66459755845231,39.72687771570453,38.18539209600662,39.18890957997103,38.574088853418466
uc2,35.69211669770329,46.69977239809642,41.25801779433064,36.08524725843162,41.733912683633356,40.62693978895096,43.46161804262363,40.79394638053856
m3p,35.74384440306228,41.77529484792055,40.513138837161186,37.10945582453962,41.09248913718188,39.17856403889923,39.25098282640182,39.23768141645236
