model,ar,es,fr,ru,avg
ctrl_muniter,49.399,57.302,59.536,50.515,54.188
ctrl_xuniter,54.811,60.739,63.832,59.536,59.7295
uc2,57.818,59.794,69.759,64.948,63.07974999999999
m3p,56.186,60.052,58.333,63.23,59.45025
