model,en,ar,es,fr,ru,avg
ctrl_muniter,76.375,46.735,56.959,59.364,51.718,53.694
ctrl_xuniter,75.773,51.976,58.935,63.316,59.708,58.48375
uc2,76.375,56.186,57.474,69.674,64.863,62.04925
m3p,76.89,55.241,58.849,56.357,62.543,58.2475
