model,ar,es,fr,ru,avg
ctrl_muniter,46.392,57.474,59.192,51.46,53.6295
ctrl_xuniter,52.32,58.935,64.261,59.536,58.763
uc2,57.646,61.34,69.674,64.519,63.29475000000001
m3p,55.069,58.935,57.99,62.715,58.67725
