model,ar,es,fr,ru,avg
ctrl_muniter,46.993,56.787,59.45,51.718,53.73700000000001
ctrl_xuniter,52.32,59.021,63.488,59.536,58.59125
uc2,56.357,57.646,69.674,64.433,62.0275
m3p,54.983,58.333,56.615,62.457,58.097
