model,ar,es,fr,ru,avg
ctrl_muniter,48.969,57.646,59.622,51.46,54.42425000000001
ctrl_xuniter,53.952,59.107,64.089,61.34,59.622
uc2,58.505,59.794,69.759,65.378,63.358999999999995
m3p,56.787,59.278,57.646,62.973,59.17100000000001
