model,ar,es,fr,ru,avg
ctrl_muniter,46.907,57.732,59.364,51.804,53.95175
ctrl_xuniter,54.038,60.223,64.519,63.402,60.545500000000004
uc2,56.873,62.801,69.759,65.292,63.68125
m3p,56.014,60.395,58.591,62.457,59.36425
