model,en,ar,bg,da,el,et,id,ja,ko,tr,vi,avg
ctrl_muniter,22.336,9.206,10.174,12.162,10.536,8.333,12.881,8.789,6.749,10.866,15.075,10.4771
ctrl_xuniter,18.54,9.079,10.298,9.337,12.384,7.821,10.656,10.095,6.974,9.692,11.738,9.807400000000001
uc2,19.708,8.323,7.692,10.442,11.645,6.026,11.475,10.808,5.737,8.811,9.896,9.0855
m3p,15.328,8.323,9.801,11.794,12.015,8.205,10.89,8.432,7.087,10.573,12.658,9.9778
ctrl_lxmert,18.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ctrl_uniter,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ctrl_vilbert,20.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ctrl_visualbert,20.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ctrl_vl-bert,21.168,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
