model,en,ar,bg,da,el,et,id,ja,ko,tr,vi,avg
ctrl_muniter,22.336,18.663,17.246,15.848,21.072,13.974,16.862,12.827,13.723,17.621,18.527,16.6363
ctrl_xuniter,18.54,16.141,13.896,13.022,17.19,12.308,16.276,10.689,12.936,13.363,16.226,14.204699999999999
uc2,19.708,13.997,13.772,13.514,18.854,11.923,14.637,10.57,12.711,17.034,14.039,14.105099999999998
m3p,15.328,13.997,13.648,14.865,16.821,12.821,11.71,10.689,12.036,13.069,16.686,13.634200000000002
ctrl_lxmert,18.5,16.015,14.888,14.988,17.375,13.718,14.871,12.47,12.823,14.831,16.571,14.854999999999999
ctrl_uniter,19.0,18.285,15.136,15.725,19.778,13.333,15.574,12.47,14.511,17.768,17.491,16.0071
ctrl_vilbert,20.2,18.159,16.873,16.462,22.181,13.846,17.447,13.777,13.836,18.502,18.182,16.926499999999997
ctrl_visualbert,20.5,18.033,15.261,14.742,21.257,11.41,15.808,11.401,13.948,16.74,18.872,15.747200000000003
ctrl_vl-bert,21.168,16.898,15.757,17.199,19.778,12.692,16.862,11.876,12.936,18.502,18.412,16.0912
