model,en,ar,bg,da,el,et,id,ja,ko,tr,vi,avg
ctrl_muniter,19.9,7.744,8.256,10.662,8.947,7.666,10.877,9.0,5.908,9.57,13.002,9.1632
ctrl_xuniter,16.7,7.632,8.488,10.325,11.228,6.407,10.211,7.3,6.337,9.57,9.725,8.722299999999999
uc2,17.9,6.622,8.837,9.428,8.772,4.691,9.878,9.8,4.296,7.49,8.457,7.8271000000000015
m3p,15.5,8.866,8.837,9.428,9.649,5.378,8.657,7.0,6.122,6.519,10.782,8.1238
ctrl_lxmert,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ctrl_uniter,18.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ctrl_vilbert,17.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ctrl_visualbert,18.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ctrl_vl-bert,20.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
