model,id,tr,zh,avg
ctrl_muniter,54.344,55.593,54.545,54.82733333333334
ctrl_xuniter,58.865,57.542,54.941,57.11600000000001
uc2,57.535,52.627,58.992,56.38466666666667
m3p,50.177,49.576,50.198,49.983666666666664
