model,en,id,sw,ta,tr,zh,avg
ctrl_muniter,71.91,60.904,61.282,62.641,71.017,63.241,63.81699999999999
ctrl_xuniter,71.552,62.5,62.906,61.675,68.983,64.13,64.03880000000001
uc2,70.561,60.461,62.365,62.721,68.729,61.166,63.0884
m3p,68.222,60.461,62.365,62.721,68.475,58.597,62.523799999999994
ctrl_lxmert,68.954,59.752,62.274,59.984,68.305,62.253,62.51360000000001
ctrl_uniter,71.107,60.55,59.657,60.064,69.153,60.178,61.920399999999994
ctrl_vilbert,71.021,59.84,60.83,60.628,69.068,61.561,62.38539999999999
ctrl_visualbert,71.178,59.309,60.108,61.836,68.136,62.352,62.3482
ctrl_vl-bert,71.724,62.677,62.455,63.607,69.407,62.648,64.15880000000001
