model,en,id,tr,zh,avg
ctrl_muniter,71.91,54.787,54.661,55.336,54.928
ctrl_xuniter,71.552,55.142,56.186,53.063,54.797000000000004
uc2,70.561,56.738,56.695,59.881,57.77133333333333
m3p,68.222,56.472,56.78,55.04,56.09733333333333
