model,id,tr,zh,avg
ctrl_muniter,52.128,55.932,54.842,54.300666666666665
ctrl_xuniter,57.181,57.458,53.656,56.09833333333333
uc2,56.294,54.492,57.016,55.934
m3p,48.05,49.322,50.395,49.25566666666666
