model,id,tr,zh,avg
ctrl_muniter,56.826,54.661,55.336,55.60766666666666
ctrl_xuniter,58.865,57.797,53.458,56.70666666666667
uc2,57.624,55.932,57.213,56.923
m3p,50.089,49.407,49.802,49.766
