model,id,tr,zh,avg
ctrl_muniter,51.418,52.542,56.522,53.494
ctrl_xuniter,56.117,55.932,54.447,55.49866666666667
uc2,56.117,55.763,58.992,56.95733333333333
m3p,49.025,51.186,50.692,50.300999999999995
