model,en,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,40.9,34.25,40.2,34.8,33.0,43.15,37.05,35.0,36.778571428571425
ctrl_xuniter,32.05,28.3,32.3,30.35,23.8,36.25,31.9,29.15,30.292857142857144
uc2,34.55,27.8,32.55,29.2,25.5,37.2,30.8,29.55,30.371428571428574
m3p,24.6,21.4,23.65,19.5,16.7,25.45,21.05,21.25,21.285714285714285
ctrl_lxmert,29.6,25.45,27.55,26.2,21.9,31.55,27.4,26.55,26.657142857142862
ctrl_uniter,40.7,36.3,39.95,34.55,32.9,43.35,38.95,36.45,37.49285714285714
ctrl_vilbert,35.7,32.5,35.05,31.4,28.65,39.65,32.45,32.8,33.214285714285715
ctrl_visualbert,39.85,35.5,38.9,33.45,30.35,44.5,38.45,33.95,36.44285714285714
ctrl_vl-bert,34.15,30.35,35.2,30.6,25.55,38.85,31.85,30.45,31.835714285714285
