model,en,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,40.9,11.85,13.05,7.55,7.7,6.8,3.25,11.85,8.864285714285714
ctrl_xuniter,32.05,13.25,15.1,16.75,9.85,14.8,10.05,14.8,13.514285714285714
uc2,34.55,23.9,15.3,13.6,22.4,16.75,6.95,26.3,17.885714285714286
m3p,24.6,11.85,12.15,12.1,9.65,14.45,8.35,14.75,11.9
