model,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,11.7,14.05,6.3,7.55,7.15,2.1,11.7,8.65
ctrl_xuniter,13.15,15.3,16.65,11.45,14.5,9.95,15.95,13.85
uc2,23.45,16.15,13.7,22.2,17.75,6.6,24.4,17.75
m3p,10.6,11.6,13.15,11.5,14.9,8.1,10.65,11.5
