model,en,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,44.5,12.05,13.15,5.95,6.3,5.85,1.75,11.35,8.057142857142859
ctrl_xuniter,38.45,14.55,16.1,16.5,10.25,15.9,9.05,15.95,14.042857142857144
uc2,37.4,28.6,15.95,14.6,24.25,20.0,7.15,31.6,20.307142857142857
m3p,31.35,13.35,13.4,13.2,10.3,15.95,7.75,16.45,12.914285714285715
