model,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,11.65,14.05,6.2,7.55,8.55,2.0,11.65,8.807142857142857
ctrl_xuniter,13.15,15.3,16.8,10.35,14.6,9.95,13.4,13.364285714285716
uc2,23.45,15.45,13.95,22.25,16.3,6.7,21.5,17.085714285714285
m3p,11.85,12.15,12.1,11.25,15.85,8.35,12.9,12.064285714285715
