model,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,11.95,14.25,5.8,6.2,8.5,1.35,11.45,8.5
ctrl_xuniter,14.45,16.05,16.6,10.8,16.2,9.05,13.65,13.828571428571431
uc2,28.15,15.4,14.65,24.35,17.65,4.9,25.5,18.657142857142855
m3p,13.35,13.4,13.2,12.05,16.4,7.75,12.65,12.685714285714287
