model,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,12.05,13.15,5.95,6.3,9.25,1.75,11.35,8.542857142857143
ctrl_xuniter,14.55,16.1,16.5,10.7,17.25,9.05,15.95,14.3
uc2,28.6,15.95,14.6,19.8,20.85,7.15,31.6,19.792857142857144
m3p,13.25,13.4,13.2,11.75,16.65,7.75,16.45,13.207142857142857
