model,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,11.95,14.25,5.75,6.2,6.55,1.3,11.4,8.2
ctrl_xuniter,14.45,16.05,16.2,11.95,16.0,9.05,17.6,14.471428571428573
uc2,28.15,15.5,12.3,24.8,19.65,5.55,29.75,19.385714285714283
m3p,11.95,13.95,14.15,12.75,16.15,7.45,9.3,12.242857142857142
