model,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,10.5,13.7,6.05,6.2,3.9,1.9,11.5,7.678571428571429
ctrl_xuniter,14.4,16.1,16.9,11.5,15.75,9.35,17.5,14.5
uc2,27.4,15.4,14.5,23.15,20.05,7.2,31.3,19.857142857142858
m3p,12.25,13.4,13.2,11.5,15.95,7.75,14.85,12.7
