model,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,11.7,14.05,4.85,7.55,7.5,2.45,11.65,8.535714285714286
ctrl_xuniter,13.2,15.3,16.85,11.3,15.1,9.95,8.55,12.892857142857142
uc2,23.45,16.15,14.2,20.25,16.75,7.0,25.75,17.65
m3p,12.35,11.6,13.0,10.6,14.65,8.1,14.4,12.1
