model,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,11.85,13.05,7.55,7.7,10.0,3.25,11.85,9.321428571428571
ctrl_xuniter,13.25,15.1,16.75,10.15,14.7,10.05,14.8,13.542857142857143
uc2,23.9,15.3,13.6,18.4,18.65,6.95,26.3,17.585714285714285
m3p,12.55,12.15,12.1,10.5,15.4,8.35,14.75,12.257142857142856
