model,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,11.9,14.25,4.55,6.2,5.75,1.4,11.45,7.928571428571429
ctrl_xuniter,14.35,16.05,16.55,11.8,15.2,9.05,7.9,12.985714285714286
uc2,28.15,15.7,14.55,23.0,19.9,7.05,31.05,19.91428571428571
m3p,12.85,13.8,14.2,10.85,17.1,7.45,16.15,13.200000000000001
