model,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,11.7,14.05,6.35,7.55,7.25,1.95,11.65,8.642857142857142
ctrl_xuniter,13.15,15.3,16.75,10.1,15.25,9.95,14.95,13.635714285714288
uc2,23.45,9.25,14.05,22.45,17.5,7.1,25.2,17.0
m3p,12.6,11.55,12.2,11.35,14.4,8.05,15.0,12.164285714285713
