model,de,es,id,ja,ru,tr,zh,avg
ctrl_muniter,10.65,14.7,8.3,8.1,7.6,3.8,12.4,9.364285714285716
ctrl_xuniter,12.95,15.6,17.05,11.8,14.65,10.3,15.95,14.042857142857143
uc2,22.25,15.85,14.9,21.2,17.0,7.15,25.8,17.735714285714288
m3p,10.65,12.15,12.1,12.3,14.45,8.35,13.65,11.950000000000001
